partner_id,nome,tipo,sito,contatto,email,telefono,area_geografica,clienti_target,modello_pagamento,prezzo_target_cpl,prezzo_target_cpa,stato,priorita,requisiti_privacy,note,ultimo_aggiornamento
lead-broker-001,Da individuare,Broker energia,,Da cercare,,,Italia,privato e business,CPL/CPA da negoziare,,,da_cercare,alta,"Consenso partner esplicito; accordo trattamento dati; regole scarto lead","Cercare broker multi-fornitore che lavori lead energia verificati.",2026-06-21
call-center-001,Da individuare,Call center energia,,Da cercare,,,Italia,privato,CPL da negoziare,,,da_cercare,media,"Consenso partner esplicito; script chiamata coerente; DPA; blacklist/revoca","Valutare solo strutture serie con tempi di ricontatto rapidi.",2026-06-21
consulente-locale-001,Da individuare,Consulente/rete vendita locale,,Da cercare,,,Italia,privato e microbusiness,CPA/provvigione,,,da_cercare,alta,"Consenso partner esplicito; incarico scritto; tracciamento esito","Strada piu semplice per partire con pochi lead e controllo qualita.",2026-06-21
comparatore-001,Da individuare,Comparatore/partner maggiore,,Da cercare,,,Italia,privato,CPL/Revenue share,,,da_cercare,bassa,"Consenso partner esplicito; valutare esclusiva; regole attribuzione","Possibile sbocco se accettano lead qualificati da terzi.",2026-06-21
business-energy-001,Da individuare,Consulente business energia,,Da cercare,,,Italia,business,CPA/provvigione,,,da_cercare,alta,"Consenso business; trattamento bollette; accordo riservatezza","Prioritario per lead aziende con valore piu alto e gestione consulenziale.",2026-06-21
switcho-001,Switcho,Comparatore digitale / partner utenze,https://www.switcho.it/,Form Diventa nostro partner,,,Italia,privato e business,Partnership o revenue share da verificare,,,da_valutare,alta,"Consenso partner esplicito; verificare se accettano lead esterni","Interessante per posizionamento simile su offerte su misura e bolletta. Ha sezione collabora con noi.",2026-06-21
comparasemplice-001,ComparaSemplice,Comparatore / call center energia,https://www.comparasemplice.it/,Telefono 02 200 11 200,,,Italia,privato e business,CPL/CPA da verificare,,,da_contattare,alta,"Consenso partner esplicito; accordo trattamento dati; regole scarto lead","Ha energia casa e business e carica bolletta. Possibile acquirente o gestore lead.",2026-06-21
papernest-001,papernest,Gestione utenze / switching,https://www.papernest.it/,Da cercare,,,Italia,privato e cambio casa,Partnership o affiliazione da verificare,,,da_valutare,media,"Consenso partner esplicito; verificare modello e categorie dati","Possibile partner per utenti in cambio casa o gestione utenze.",2026-06-21
facile-partner-001,Facile.it Partner,Network partner / comparatore maggiore,https://www.facile.it/,Facile.it Partner,,,Italia,intermediari e partner professionali,Partnership da verificare,,,da_valutare,bassa,"Valutare asimmetria contrattuale; possibile competitor","Grande player con rete partner. Utile come benchmark e possibile canale ma non priorita iniziale.",2026-06-21
segugio-mavriq-001,Segugio.it / Mavriq,Comparatore maggiore / gruppo digitale,https://www.segugio.it/,Da cercare,,,Italia,privato e business,Partnership da verificare,,,da_valutare,bassa,"Consenso partner esplicito; valutare se accettano traffico o lead terzi","Gruppo forte nella comparazione. Piu utile come benchmark o contatto strategico che come primo acquirente.",2026-06-21
